circulo,partido,candidato,tipo
Aveiro,MPT,Alexandra Maria Silva Alves Gonçalves,efetivo
Aveiro,MPT,Francisco José Campos Bargante,efetivo
Aveiro,MPT,Maria Ângela Drumond Costa,efetivo
Aveiro,MPT,Cátia Cristina Castro Aguiar Camacho,efetivo
Aveiro,MPT,António Luís Alves de Freitas,efetivo
Aveiro,MPT,Joana Basília Caldeira Telo Fernandes,efetivo
Aveiro,MPT,Maria Odeta Gomes Franco Pereira,efetivo
Aveiro,MPT,André Filipe Rodrigues Gomes Martins,efetivo
Aveiro,MPT,Maria Iolanda Olival Silva Novita,efetivo
Aveiro,MPT,Paula Cristina Camacho Costa Melim,efetivo
Aveiro,MPT,José Miguel Dias Vieira,efetivo
Aveiro,MPT,Maria Guida Pestana Campos,efetivo
Aveiro,MPT,José Olívio Camacho Arranhado,efetivo
Aveiro,MPT,Daniel João Caires Gomes,efetivo
Aveiro,MPT,Dina Mafalda da Silva Fernandes,suplente
Aveiro,MPT,Óscar Quintal Nóbrega,suplente
Beja,LIVRE,João Manuel Aiveca Caseiro,efetivo
Beja,LIVRE,Maria Amélia Gonçalves da Cruz,efetivo
Beja,LIVRE,Francisco Maria Abreu do Nascimento Lampreia Burnay,efetivo
Beja,LIVRE,Maria Rita Acabado Aiveca ,suplente
Beja,LIVRE,Rui Alexandre Clemente Ribeiro,suplente
Beja,PCP - PEV - CDU,João Manuel lldefonso Dias,efetivo
Beja,PCP - PEV - CDU,Tomé Alexandre Martins Pires,efetivo
Beja,PCP - PEV - CDU,Sara Cristina Ramos Marcelino,efetivo
Beja,PCP - PEV - CDU,João Daniel Colaço da Silva,suplente
Beja,PCP - PEV - CDU,Telma Cristina Cardoso Saião Silva,suplente
Beja,PCP - PEV - CDU,Maria Helena Gomes da Costa Pais,suplente
Beja,CHEGA,Ana Cristina Véstia Moisão,efetivo
Beja,CHEGA,Nuno Miguel Sousa Franco,efetivo
Beja,CHEGA,Andreia Sofia Rodrigues Agostinho,efetivo
Beja,CHEGA,Paula Cristina Carvalho Martins,suplente
Beja,CHEGA,Miguel Nuno Teles Batista,suplente
Beja,CHEGA,Octávio Jorge Filhó Matos da Costa,suplente
Beja,Volt Portugal,Íris Raquel Uebelhoer de Lá Féria e Oliveira,efetivo
Beja,Volt Portugal,João Pedro Romão Casimiro,efetivo
Beja,Volt Portugal,Vasco Miguel Barata Antunes,efetivo
Beja,Volt Portugal,Ana Paula Nunes Baptista,suplente
Beja,Volt Portugal,Miguel Ângelo Novo Pinto,suplente
Beja,R.I.R.,Mário João Macedo Balsemão,efetivo
Beja,R.I.R.,Vânia Sofia Valente Ribeiro,efetivo
Beja,R.I.R.,Luís Miguel Dias Espadanal Pirra,efetivo
Beja,R.I.R.,Paula do Rosário Azedo Cota,suplente
Beja,R.I.R.,João José Barros Pataco,suplente
Beja,R.I.R.,Marta Prezado Frade,suplente
Beja,PTP,Susana Filipa Maior de Abreu,efetivo
Beja,PTP,Saul Teles Rosa,efetivo
Beja,PTP,José Justino Rodrigues Fernandes,efetivo
Beja,PTP,Cláudia Lucas Martins,suplente
Beja,PTP,António Adelino da Conceição Silva,suplente
Beja,PAN,Luís António de Matos Vicente,efetivo
Beja,PAN,Ana Cristina do Espírito Santo Piçarra,efetivo
Beja,PAN,Duarte Nuno Alexandre Malhão,efetivo
Beja,PAN,Maria Inês de Barros Ferreira Bettencourt de Figueiredo Malhão,suplente
Beja,PAN,Sofia Alexandra Barbosa de Oliveira,suplente
Beja,IL,Ana Paula Marques Pereira,efetivo
Beja,IL,Miguel Burguete de Bacelar Marreiros Figueira,efetivo
Beja,IL,Luís Filipe Mestre Campaniço Guerreiro Sebastião,efetivo
Beja,IL,Mariana Filipa Silva Gonçalves,suplente
Beja,IL,Patrick Lenehan,suplente
Beja,PS,Pedro Nuno Raposo Prazeres do Carmo,efetivo
Beja,PS,Nelson Domingos Brito,efetivo
Beja,PS,Telma Cristina Felizardo Guerreiro,efetivo
Beja,PS,Custódia Maria Sequeira Alho,suplente
Beja,PS,Afonso Manuel Teixeira Pereira Domingos,suplente
Beja,PS,Rita Isabel de Sousa Costa Machado,suplente
Beja,MPT,Arlindo Manuel Morgado de Oliveira,efetivo
Beja,MPT,Estrela Maria de Sousa Soares Pimenta,efetivo
Beja,MPT,Ana Carolina Silvério Gomes,efetivo
Beja,MPT,Lídio Miguel Tomás Freitas,suplente
Beja,MPT,Maria Filipa Letra Feteira,suplente
Beja,MAS,João Carlos de Gouveia Pascoal,efetivo
Beja,MAS,Fernanda Maria Ferreira Fortunato da Silva,efetivo
Beja,MAS,Fernando Manuel Gonçalves Revez Martinho,efetivo
Beja,MAS,Isabel Maria Fontes Pereira Gomes Natário Teixeira,suplente
Beja,MAS,Maria Goretti da Silva,suplente
Beja,PCTP/MRPP,Carlos José Lameira Pais,efetivo
Beja,PCTP/MRPP,Maria Helena Valente Pinto,efetivo
Beja,PCTP/MRPP,Manuel Simão Parreira,efetivo
Beja,PCTP/MRPP,Ermelinda da Encarnação Romeira,suplente
Beja,PCTP/MRPP,José António Veras Baptista,suplente
Beja,BE,José Lucílio Segismundo Esteves,efetivo
Beja,BE,Fátima do Nascimento Cabeleira Teixeira,efetivo
Beja,BE,Gonçalo Martins Monteiro,efetivo
Beja,BE,Ana Cristina Correia Ferreira,suplente
Beja,BE,Adelino António Pereira Coelho,suplente
Beja,BE,Cláudia Maria Doroteia Figueira,suplente
Beja,PPD/PSD,Henrique Corrêa Silvestre Ferreira,efetivo
Beja,PPD/PSD,Inês Isabel Mota Batista,efetivo
Beja,PPD/PSD,Rui Manuel Veiga Mata,efetivo
